Time(s),Velocity(m/s),Accel(m/s^2),Pressure(kPa),Altitude(m)
0,0.6,0.6,101.22,0.6
0.06006006,0.637837838,0.601801802,101.2692492,0.673873874
0.12012012,0.675675676,,101.3184985,0.747747748
0.18018018,,0.605405405,101.3677477,0.821621622
0.24024024,0.751351351,0.607207207,101.416997,0.895495495
0.3003003,0.789189189,0.609009009,101.4662462,0.969369369
0.36036036,0.827027027,0.610810811,101.5154955,1.043243243
0.42042042,0.864864865,0.612612613,101.5647447,1.117117117
0.48048048,0.902702703,0.614414414,101.613994,1.190990991
0.540540541,0.940540541,0.616216216,101.6632432,1.264864865
0.600600601,0.978378378,0.618018018,101.7124925,1.338738739
0.660660661,1.016216216,0.61981982,101.7617417,1.412612613
0.720720721,1.054054054,,101.810991,1.486486486
0.780780781,1.091891892,0.623423423,101.8602402,1.56036036
0.840840841,1.12972973,,101.9094895,1.634234234
0.900900901,,0.627027027,101.9587387,1.708108108
0.960960961,1.205405405,0.628828829,,1.781981982
,1.239459459,0.626216216,102.0210811,1.865315315
1.081081081,,,101.967027,1.966216216
1.141141141,1.293513514,0.604594595,101.912973,2.067117117
1.201201201,1.320540541,0.593783784,101.8589189,2.168018018
,1.347567568,0.582972973,101.8048649,2.268918919
1.321321321,1.374594595,0.572162162,101.7508108,2.36981982
1.381381381,1.401621622,0.561351351,101.6967568,2.470720721
1.441441441,1.428648649,0.550540541,101.6427027,2.571621622
1.501501502,1.455675676,0.53972973,101.5886486,2.672522523
1.561561562,1.482702703,0.528918919,101.5345946,2.773423423
1.621621622,1.50972973,0.518108108,101.4805405,2.874324324
,1.536756757,0.507297297,101.4264865,2.975225225
1.741741742,1.563783784,0.496486486,101.3724324,3.076126126
1.801801802,1.590810811,0.485675676,101.3183784,3.177027027
1.861861862,1.617837838,0.474864865,101.2643243,3.277927928
1.921921922,1.644864865,0.464054054,101.2102703,3.378828829
1.981981982,1.671891892,0.453243243,101.1562162,3.47972973
2.042042042,1.714474474,0.465555556,101.1597598,3.615105105
2.102102102,,0.487777778,101.187988,3.765255255
2.162162162,,0.51,101.2162162,3.915405405
2.222222222,,0.532222222,101.2444444,4.065555556
2.282282282,,0.554444444,101.2726727,4.215705706
2.342342342,1.960720721,0.576666667,101.3009009,4.365855856
2.402402402,2.00996997,0.598888889,101.3291291,4.516006006
2.462462462,2.059219219,0.621111111,101.3573574,4.666156156
2.522522523,2.108468468,0.643333333,101.3855856,4.816306306
2.582582583,2.157717718,0.665555556,101.4138138,4.966456456
2.642642643,2.206966967,0.687777778,101.442042,5.116606607
2.702702703,2.256216216,0.71,,5.266756757
2.762762763,2.305465465,0.732222222,101.4984985,5.416906907
2.822822823,2.354714715,0.754444444,101.5267267,5.567057057
2.882882883,2.403963964,0.776666667,101.554955,5.717207207
2.942942943,2.453213213,,101.5831832,5.867357357
3.003003003,2.501201201,0.818768769,101.6095495,6.018708709
3.063063063,2.525225225,0.794144144,101.6005405,6.192882883
3.123123123,2.549249249,0.76951952,101.5915315,6.367057057
3.183183183,2.573273273,0.744894895,101.5825225,6.541231231
3.243243243,2.597297297,0.72027027,101.5735135,6.715405405
3.303303303,2.621321321,0.695645646,101.5645045,6.88957958
3.363363363,2.645345345,0.671021021,101.5554955,7.063753754
3.423423423,2.669369369,0.646396396,101.5464865,
3.483483483,2.693393393,0.621771772,101.5374775,
3.543543544,2.717417417,0.597147147,101.5284685,7.586276276
3.603603604,2.741441441,0.572522523,101.5194595,7.76045045
3.663663664,2.765465465,0.547897898,101.5104505,7.934624625
3.723723724,2.789489489,0.523273273,101.5014414,8.108798799
3.783783784,2.813513514,0.498648649,101.4924324,8.282972973
3.843843844,2.837537538,0.474024024,101.4834234,8.457147147
3.903903904,2.861561562,0.449399399,101.4744144,8.631321321
3.963963964,2.885585586,0.424774775,101.4654054,8.805495495
4.024024024,3.238258258,0.738168168,101.4427027,9.317927928
4.084084084,4.083903904,1.558588589,101.3994595,10.33774775
4.144144144,4.92954955,2.379009009,101.3562162,11.35756757
4.204204204,5.775195195,,101.312973,12.37738739
,6.620840841,,101.2697297,13.39720721
4.324324324,7.466486486,,101.2264865,14.41702703
4.384384384,8.312132132,,101.1832432,15.43684685
4.444444444,9.157777778,6.481111111,101.14,16.45666667
,10.00342342,7.301531532,101.0967568,
4.564564565,10.84906907,8.121951952,101.0535135,
4.624624625,11.69471471,8.942372372,101.0102703,
4.684684685,12.54036036,9.762792793,100.967027,
,13.38600601,10.58321321,100.9237838,21.55576577
4.804804805,14.23165165,11.40363363,100.8805405,22.57558559
4.864864865,15.0772973,12.22405405,100.8372973,23.59540541
4.924924925,15.92294294,,100.7940541,24.61522523
,16.76858859,,100.7508108,25.63504505
5.045045045,17.6772973,,100.6890991,27.35216216
5.105105105,18.60702703,14.2181982,100.6212312,29.30171171
5.165165165,19.53675676,14.30288288,100.5533634,31.25126126
5.225225225,20.46648649,14.38756757,100.4854955,33.20081081
5.285285285,21.39621622,14.47225225,100.4176276,35.15036036
,22.32594595,,100.3497598,37.09990991
5.405405405,23.25567568,14.64162162,100.2818919,39.04945946
5.465465465,24.18540541,14.72630631,100.214024,40.99900901
5.525525526,25.11513514,14.81099099,100.1461562,42.94855856
5.585585586,26.04486486,14.89567568,100.0782883,44.89810811
5.645645646,26.97459459,14.98036036,100.0104204,46.84765766
